Rooms_numeric,Price_numeric
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
4.0,4500
4.0,4500
4.0,2207
1.0,4117
1.0,4117
3.0,4801
1.0,1100
2.0,12134
1.0,1450
2.0,7328
3.0,2500
1.0,1300
3.0,5200
1.0,823
2.0,9600
2.0,1550
2.0,3200
2.0,3976
5.0,2000
1.0,1994
1.0,1200
2.0,625
2.0,9779
1.0,4767
1.0,3150
2.0,1400
1.0,8255
2.0,1550
2.0,1800
3.0,2362
3.0,2362
2.0,10800
1.0,2800
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
2.0,2167
4.0,540
2.0,3597
2.0,5200
1.0,1408
3.0,2383
2.0,3250
1.0,1100
1.0,1100
6.0,1904
1.0,1000
1.0,625
1.0,625
3.0,6000
2.0,1400
2.0,1400
1.0,2817
2.0,1525
3.0,346
2.0,2058
1.0,2000
1.0,2249
2.0,1733
2.0,2500
1.0,1235
2.0,2578
1.0,1625
4.0,3389
3.0,3497
2.0,10833
3.0,1800
1.0,2167
2.0,3750
